likesCount,text,cleaned_text,sentiment
2,"Neat comparison I have not heard it before.
 I would say that CO2 is like a disco ball so energy and collide with countless molecules as it bounces around in our atmosphere.",neat comparison heard say like disco ball energy collide countless molecules bounces atmosphere,Neutral
0,An excellent way to visualise the invisible! Thanks,excellent way visualise invisible thanks,Positive
1,Does the CO2/ghg in the troposphere affect the stratosphere? Being warmer the troposphere must be expanding?,does coghg troposphere affect stratosphere warmer troposphere expanding,Neutral
4,excellent post! I defo feel the difference - one i can drink and the other makes me feel sick.,excellent post defo feel difference drink makes feel sick,Positive
16,"Yes, and carbon dioxide does not harm the Earth like you people are making it out to be. Fake climate change rhetoric, as usual.",yes carbon dioxide does harm earth like people making fake climate change rhetoric usual,Negative
4,Excellent example...very relatable to the Gen Pop. Complex topics...explained in understandable ways. 👍⚡,excellent examplevery relatable gen pop complex topicsexplained understandable ways,Positive
10,I am so proud of whoever created this content. Please feel very very good about yourself today,proud created content feel good today,Positive
1,Has the Earth ever had a concentration of over 1000 ppm?,earth concentration ppm,Neutral
0,"Yes, and not even half a cup later that poor soul is gonna know it too.",yes half cup later poor soul gonna know,Negative
4,Historical co2 data would make it an interesting post,historical data make interesting post,Positive
6,why the northern hemisphere warm more than the southern hemisphere?,northern hemisphere warm southern hemisphere,Positive
1,So what are we gonna do about it?,gonna,Neutral
3,Yes. I fall asleep on decaf and stay awake with real coffee. You can keep your brown sadness water thanks.,yes fall asleep decaf stay awake real coffee brown sadness water thanks,Positive
18,Plus you can literally measure the heat retention effect of CO2 in a glass container in a lab,plus literally measure heat retention effect glass container lab,Neutral
3,"The two most abundant gases (nitrogen and oxygen) comprise 99% of the atmosphere. Neither traps heat. By definition, all greenhouse gases are trace gases because they live in the remaining 1%. It's too bad the CO2 is naturally so sparse. If CO2 were naturally abundant like oxygen, our emissions wouldn't matter. We'd have a negligible impact. But because CO2 is naturally sparse, our emissions matter a lot. In fact, one-third of the CO2 in the atmosphere is due to human activity. We have to stop emitting and pull CO2 we've already emitted out of the atmosphere to stabilize the climate.",abundant gases nitrogen oxygen comprise atmosphere traps heat definition greenhouse gases trace gases live remaining bad naturally sparse naturally abundant like oxygen emissions wouldnt matter wed negligible impact naturally sparse emissions matter lot fact onethird atmosphere human activity stop emitting pull weve emitted atmosphere stabilize climate,Positive
14,That's an excellent way to illustrate 400 ppm.,thats excellent way illustrate ppm,Positive
40,"I find it interesting when people claim that CO2 can't possibly be the cause of the Earth warming because it is just a trace gas, yet the same people would acknowledge that this trace gas is responsible for all plant life on Earth.",interesting people claim possibly cause earth warming just trace gas people acknowledge trace gas responsible plant life earth,Positive
1,Love this post! Great pedagogy 🙏,love post great pedagogy,Positive
0,Kathy Schulz,kathy schulz,Neutral
0,Before of after I drink it?,drink,Neutral
0,"That’s a good analogy. 

I have thought that another one (involving the absorption of EM waves, though in the visible) might be: try putting a small amount (0.4cc) of blue die into a litre bottle of water. All of the water then has a faint blue tinge.",thats good analogy thought involving absorption em waves visible try putting small cc blue die litre bottle water water faint blue tinge,Negative
0,Great advice!,great advice,Positive
0,Thanks for sharing,thanks sharing,Positive
0,Excellent,excellent,Positive
0,"Not if its good coffee beans, 
Not until I get jittery🤣🤣🤣🤣",good coffee beans jittery,Positive
1,💖💖💖,,Neutral
0,*********,,Neutral
0,Hlw,hlw,Neutral
0,decaf is like mouth to mouth were as caffeinated is a defibrillator electric jolt.,decaf like mouth mouth caffeinated defibrillator electric jolt,Neutral
4,"Maybe this is what happened to Mars...we messed it up, came here and doing it all over again...meant as a joke, but I wouldn't be surprised.",maybe happened marswe messed came doing againmeant joke wouldnt surprised,Positive
1,"It is not the average temperature that is important,but the difference between night and day and the seasons.",average temperature importantbut difference night day seasons,Negative
21,It's always fun watching dropouts pretend to argue science with NASA.,fun watching dropouts pretend argue science nasa,Positive
19,"Whenever NASA posts good, peer reviewed science I make sure to read the comments to see what the nut jobs have to say",nasa posts good peer reviewed science make sure read comments nut jobs say,Positive
3,Due to more carbon🤦‍♀️,carbon,Neutral
3,"Maybe if Fox had investigative journalists they would: 1: understand the physics of climate change and the dangers they present! 2: would expose the propaganda of the fossil fuel industry! 3: not mock those like AOC who are trying to make real change!

Here: read this/watch real investigative reporters with hard data and not Fox charlatans!

Watch and learn!

https://www.pbs.org/video/the-power-of-big-oil-part-one-denial-redxh6/",maybe fox investigative journalists understand physics climate change dangers present expose propaganda fossil fuel industry mock like aoc trying make real change read thiswatch real investigative reporters hard data fox charlatans watch learn,Positive
1,"By 2050….12-18 inches as the rate continues to accelerate , glad am 58 and not 28",inches rate continues accelerate glad,Positive
2,You simply can’t mess with science and the data collected by thousands of scientists and researchers. What will it take for politicians to finally take a stance to actually globally combat climate change????,simply mess science data collected thousands scientists researchers politicians finally stance actually globally combat climate change,Negative
5,"Cue the science graduates of the universities of Google, Facebook, & YouTube.",cue science graduates universities google facebook youtube,Neutral
3,That’s horrendous,thats horrendous,Neutral
0,"Say bye bye, Florida.",say bye bye florida,Neutral
1,Sustainability VS Stability of climate change solution is a must,sustainability vs stability climate change solution,Neutral
1,Dutchy Holland maybe you better move up a level in your apartment building,dutchy holland maybe better level apartment building,Positive
12,Yet so many westerners don't believe or understand the simple science behind global warming. This is why BigOil still has so much power.,westerners dont believe understand simple science global warming bigoil power,Neutral
0,Di pulau Jawa Indonesia sering gempa sekarang,di pulau jawa indonesia sering gempa sekarang,Neutral
0,"Andrew Bidi apropo de conversatia noastra, am vazut asta si am zis sa iti arat 😅",andrew bidi apropo conversatia noastra vazut asta si zis sa iti arat,Neutral
